Stomagen,,epfl10,,Wild Type,
Label,Y,Label,Y,Label,Y
Well Watered,22.63427495,Well Watered,21.46666667,Well Watered,21.71148776
Well Watered,22.61544256,Well Watered,22.18229755,Well Watered,21.82448211
Well Watered,22.9920904,Well Watered,22.57777778,Well Watered,22.14463277
Well Watered,23.23691149,Well Watered,22.78493409,Well Watered,22.42711864
Well Watered,23.93370998,Well Watered,22.973258,Well Watered,22.55894539
Well Watered,24.21619586,Well Watered,23.12391714,Well Watered,23.02975518
Well Watered,24.38568738,Well Watered,22.973258,Well Watered,23.34990584
Well Watered,24.74350282,Well Watered,22.84143126,Well Watered,23.51939736
Vegetative Drought,21.99397363,Vegetative Drought,21.93747646,Vegetative Drought,22.12580038
Vegetative Drought,22.25762712,Vegetative Drought,22.0693032,Vegetative Drought,22.12580038
Vegetative Drought,22.57777778,Vegetative Drought,22.48361582,Vegetative Drought,22.76610169
Vegetative Drought,22.86026365,Vegetative Drought,22.67193974,Vegetative Drought,22.95442561
Vegetative Drought,23.36873823,Vegetative Drought,22.46478343,Vegetative Drought,23.14274953
Vegetative Drought,23.23691149,Vegetative Drought,23.06741996,Vegetative Drought,22.95442561
Vegetative Drought,23.31224105,Vegetative Drought,23.14274953,Vegetative Drought,23.65122411
Vegetative Drought,24.27269303,Vegetative Drought,23.4440678,Vegetative Drought,23.63239171
Reproductive Drought,24.78116761,Reproductive Drought,24.25386064,Reproductive Drought,24.70583804
Reproductive Drought,25.49679849,Reproductive Drought,24.5740113,Reproductive Drought,24.96949153
Reproductive Drought,25.51563089,Reproductive Drought,24.91299435,Reproductive Drought,25.12015066
Reproductive Drought,25.76045198,Reproductive Drought,24.98832392,Reproductive Drought,25.27080979
Reproductive Drought,25.87344633,Reproductive Drought,25.15781544,Reproductive Drought,25.60979284
Reproductive Drought,26.06177024,Reproductive Drought,25.42146893,Reproductive Drought,26.23126177
Reproductive Drought,26.6079096,Reproductive Drought,25.60979284,Reproductive Drought,26.81506591
Reproductive Drought,26.8527307,Reproductive Drought,26.28775895,Reproductive Drought,27.68135593
