Stomagen,,epfl10,,Wild Type,
Label,Y,Label,Y,Label,Y
Well Watered,6.90552017,Well Watered,5.114118896,Well Watered,6.872346072
Well Watered,7.635350318,Well Watered,7.369957537,Well Watered,8.099787686
Well Watered,8.232484076,Well Watered,8.89596603,Well Watered,8.995488323
Well Watered,8.730095541,Well Watered,9.45992569,Well Watered,8.962314225
Well Watered,8.630573248,Well Watered,10.32245223,Well Watered,9.592622081
Well Watered,10.58784501,Well Watered,11.41719745,Well Watered,10.15658174
Well Watered,12.08067941,Well Watered,12.47876858,Well Watered,11.11863057
Well Watered,13.50716561,Vegetative Drought,3.35589172,Well Watered,12.34607219
Vegetative Drought,2.028927813,Vegetative Drought,4.848726115,Vegetative Drought,1.829883227
Vegetative Drought,4.981422505,Vegetative Drought,5.34633758,Vegetative Drought,3.057324841
Vegetative Drought,5.644904459,Vegetative Drought,5.644904459,Vegetative Drought,5.313163482
Vegetative Drought,5.611730361,Vegetative Drought,6.441082803,Vegetative Drought,6.208864119
Vegetative Drought,6.839171975,Vegetative Drought,6.772823779,Vegetative Drought,8.132961783
Vegetative Drought,6.938694268,Vegetative Drought,8.398354565,Vegetative Drought,9.559447983
Vegetative Drought,7.502653928,Vegetative Drought,10.28927813,Vegetative Drought,10.62101911
Vegetative Drought,9.327229299,Reproductive Drought,5.313163482,Vegetative Drought,10.85323779
Reproductive Drought,6.805997877,Reproductive Drought,5.843949045,Reproductive Drought,6.407908705
Reproductive Drought,7.801220807,Reproductive Drought,7.071390658,Reproductive Drought,7.005042463
Reproductive Drought,7.801220807,Reproductive Drought,9.327229299,Reproductive Drought,9.45992569
Reproductive Drought,8.332006369,Reproductive Drought,9.89118896,Reproductive Drought,10.05705945
Reproductive Drought,9.194532909,Reproductive Drought,10.38880042,Reproductive Drought,11.18497877
Reproductive Drought,9.526273885,Reproductive Drought,11.08545648,Reproductive Drought,12.04750531
Reproductive Drought,9.360403397,Reproductive Drought,12.87685775,Reproductive Drought,12.77733546
Reproductive Drought,13.24177282,,,Reproductive Drought,15.63030786
