Date,District,Latitude,Longitude,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,VPD_kPa,Month,Year,Season,Heat_Stress_35C,PPFD_estimated_umol
2015-01-01,Warangal,17.97,79.59,25.68,34.32,17.72,52.9,14.17,1.06,0.06,1.553534731299278,1,2015,Rabi,False,2834.0
2015-01-02,Warangal,17.97,79.59,25.09,32.38,18.22,62.21,12.94,2.21,1.15,1.2035357443575234,1,2015,Rabi,False,2588.0
2015-01-03,Warangal,17.97,79.59,23.91,30.16,19.01,76.33,10.98,3.16,12.3,0.7024868570744731,1,2015,Rabi,False,2196.0
2015-01-04,Warangal,17.97,79.59,22.24,29.11,17.32,72.32,12.12,2.39,1.3,0.7426144319569921,1,2015,Rabi,False,2424.0
2015-01-05,Warangal,17.97,79.59,20.85,28.61,14.96,60.52,17.88,2.64,0.0,0.9728594500775448,1,2015,Rabi,False,3576.0
2015-01-06,Warangal,17.97,79.59,19.36,28.69,11.82,45.88,19.98,1.96,0.0,1.2162023503395285,1,2015,Rabi,False,3996.0
2015-01-07,Warangal,17.97,79.59,20.11,30.27,12.6,41.14,19.23,1.48,0.0,1.3857120432044825,1,2015,Rabi,False,3846.0
2015-01-08,Warangal,17.97,79.59,19.53,29.39,11.96,40.74,19.56,1.59,0.0,1.3458596356981274,1,2015,Rabi,False,3911.9999999999995
2015-01-09,Warangal,17.97,79.59,18.36,28.43,10.36,41.98,20.07,2.2,0.0,1.2249032729560403,1,2015,Rabi,False,4014.0
2015-01-10,Warangal,17.97,79.59,18.16,28.71,9.85,40.6,20.45,1.71,0.0,1.238397986294387,1,2015,Rabi,False,4090.0
2015-01-11,Warangal,17.97,79.59,18.18,28.73,9.78,38.83,20.14,2.09,0.0,1.276902344932559,1,2015,Rabi,False,4028.0
2015-01-12,Warangal,17.97,79.59,18.86,29.32,10.89,38.91,20.29,1.53,0.0,1.3307076616664042,1,2015,Rabi,False,4058.0
2015-01-13,Warangal,17.97,79.59,19.29,29.83,11.61,36.44,19.9,1.5,0.0,1.4221327639233996,1,2015,Rabi,False,3979.9999999999995
2015-01-14,Warangal,17.97,79.59,20.62,30.32,12.66,38.22,19.67,1.31,0.0,1.500972388241541,1,2015,Rabi,False,3934.0000000000005
2015-01-15,Warangal,17.97,79.59,20.51,29.67,13.12,52.34,17.24,1.56,0.0,1.150097171935203,1,2015,Rabi,False,3447.9999999999995
2015-01-16,Warangal,17.97,79.59,20.57,30.69,12.42,37.05,19.08,1.35,0.0,1.5246934199645543,1,2015,Rabi,False,3815.9999999999995
2015-01-17,Warangal,17.97,79.59,20.0,30.04,11.66,36.97,19.08,1.52,0.0,1.4738186850655692,1,2015,Rabi,False,3815.9999999999995
2015-01-18,Warangal,17.97,79.59,20.19,30.04,12.3,40.55,19.19,1.58,0.0,1.4065423461590938,1,2015,Rabi,False,3838.0000000000005
2015-01-19,Warangal,17.97,79.59,20.27,29.97,12.09,38.4,18.82,1.46,0.0,1.4646321051465618,1,2015,Rabi,False,3764.0
2015-01-20,Warangal,17.97,79.59,21.02,29.96,12.8,49.61,16.11,1.85,0.0,1.2547423912362534,1,2015,Rabi,False,3222.0
2015-01-21,Warangal,17.97,79.59,21.72,30.1,14.75,54.42,15.6,2.74,0.0,1.1846896496416883,1,2015,Rabi,False,3120.0
2015-01-22,Warangal,17.97,79.59,21.57,30.29,14.13,47.3,18.06,2.28,0.0,1.3572484449043665,1,2015,Rabi,False,3611.9999999999995
2015-01-23,Warangal,17.97,79.59,22.08,31.06,13.84,50.7,18.99,1.81,0.0,1.3098274564256316,1,2015,Rabi,False,3797.9999999999995
2015-01-24,Warangal,17.97,79.59,22.94,31.71,14.84,49.9,18.67,1.64,0.0,1.4024283419437322,1,2015,Rabi,False,3734.0000000000005
2015-01-25,Warangal,17.97,79.59,22.89,31.26,15.35,50.64,19.3,2.09,0.0,1.377538830618925,1,2015,Rabi,False,3860.0
2015-01-26,Warangal,17.97,79.59,23.15,31.79,16.05,51.94,17.64,2.46,0.0,1.3625143422077446,1,2015,Rabi,False,3528.0
2015-01-27,Warangal,17.97,79.59,23.17,31.78,15.66,51.51,19.4,2.24,0.0,1.3763668806973608,1,2015,Rabi,False,3879.9999999999995
2015-01-28,Warangal,17.97,79.59,23.47,32.03,15.84,54.73,19.4,2.36,0.0,1.3084392682904793,1,2015,Rabi,False,3879.9999999999995
2015-01-29,Warangal,17.97,79.59,23.86,31.83,17.1,56.07,17.23,1.71,0.0,1.2998601722148275,1,2015,Rabi,False,3446.0
2015-01-30,Warangal,17.97,79.59,23.73,31.98,16.15,50.67,16.33,1.66,0.0,1.4482798235766612,1,2015,Rabi,False,3265.9999999999995
2015-01-31,Warangal,17.97,79.59,23.33,32.08,16.17,41.39,17.26,1.75,0.0,1.679765126294317,1,2015,Rabi,False,3452.0000000000005
2015-02-01,Warangal,17.97,79.59,23.01,32.25,15.19,35.3,18.97,1.28,0.0,1.818805856494864,2,2015,Rabi,False,3794.0
2015-02-02,Warangal,17.97,79.59,23.52,31.66,16.7,53.3,16.77,2.5,0.0,1.3538432115289998,2,2015,Rabi,False,3354.0
2015-02-03,Warangal,17.97,79.59,23.47,31.55,16.46,53.03,18.84,2.09,0.0,1.3575743855004156,2,2015,Rabi,False,3768.0
2015-02-04,Warangal,17.97,79.59,23.96,32.56,15.2,45.26,20.98,1.55,0.0,1.629478935929877,2,2015,Rabi,False,4196.0
2015-02-05,Warangal,17.97,79.59,23.66,32.71,16.03,39.43,20.64,1.55,0.0,1.7708018311864624,2,2015,Rabi,False,4128.0
2015-02-06,Warangal,17.97,79.59,23.29,31.03,15.52,45.94,20.02,1.86,0.0,1.5456268769613055,2,2015,Rabi,False,4004.0
2015-02-07,Warangal,17.97,79.59,23.39,31.1,16.46,50.84,19.07,2.42,0.0,1.4140359127422948,2,2015,Rabi,False,3814.0
2015-02-08,Warangal,17.97,79.59,24.16,31.17,17.53,54.84,17.75,2.73,0.0,1.3605326001355684,2,2015,Rabi,False,3550.0
2015-02-09,Warangal,17.97,79.59,24.79,31.88,17.23,47.16,19.99,2.38,0.0,1.65302982223868,2,2015,Rabi,False,3997.9999999999995
2015-02-10,Warangal,17.97,79.59,24.52,31.75,18.64,51.39,19.99,1.84,0.0,1.4963751545946522,2,2015,Rabi,False,3997.9999999999995
2015-02-11,Warangal,17.97,79.59,24.99,32.9,17.66,51.48,18.74,1.69,0.0,1.5360904638380826,2,2015,Rabi,False,3747.9999999999995
2015-02-12,Warangal,17.97,79.59,25.18,33.95,17.39,47.17,20.64,1.96,0.0,1.6915643253608963,2,2015,Rabi,False,4128.0
2015-02-13,Warangal,17.97,79.59,25.39,34.77,16.88,43.04,20.77,1.6,0.0,1.8467094402481297,2,2015,Rabi,False,4154.0
2015-02-14,Warangal,17.97,79.59,25.1,34.14,16.26,26.52,21.35,1.67,0.0,2.3415840460682507,2,2015,Rabi,False,4270.0
2015-02-15,Warangal,17.97,79.59,26.74,35.71,19.2,18.19,22.85,1.01,0.0,2.8726078166015743,2,2015,Rabi,True,4570.0
2015-02-16,Warangal,17.97,79.59,26.42,35.42,16.85,24.16,22.48,1.17,0.0,2.6132987185663503,2,2015,Rabi,True,4496.0
2015-02-17,Warangal,17.97,79.59,26.81,36.33,17.34,22.78,23.21,1.26,0.0,2.7226154429654676,2,2015,Rabi,True,4642.0
2015-02-18,Warangal,17.97,79.59,26.27,36.25,16.63,36.78,21.81,1.92,0.0,2.159257214112107,2,2015,Rabi,True,4362.0
2015-02-19,Warangal,17.97,79.59,26.26,35.31,17.45,48.41,21.08,2.42,0.0,1.7609993836087328,2,2015,Rabi,True,4216.0
2015-02-20,Warangal,17.97,79.59,26.92,34.86,19.64,44.11,19.54,2.31,0.04,1.9833353671518472,2,2015,Rabi,False,3908.0
2015-02-21,Warangal,17.97,79.59,27.36,34.67,20.8,35.21,20.42,1.33,0.0,2.3592223150028655,2,2015,Rabi,False,4084.0000000000005
2015-02-22,Warangal,17.97,79.59,27.68,35.59,20.23,24.91,22.83,1.53,0.0,2.7858917888116004,2,2015,Rabi,True,4566.0
2015-02-23,Warangal,17.97,79.59,27.21,35.63,19.36,28.13,23.15,1.42,0.0,2.594149085900198,2,2015,Rabi,True,4630.0
2015-02-24,Warangal,17.97,79.59,26.67,36.19,17.66,32.72,23.23,1.62,0.0,2.352710113970258,2,2015,Rabi,True,4646.0
2015-02-25,Warangal,17.97,79.59,26.74,36.57,17.63,30.93,23.36,1.78,0.0,2.425266127523172,2,2015,Rabi,True,4672.0
2015-02-26,Warangal,17.97,79.59,26.85,36.73,17.98,27.29,23.47,2.83,0.0,2.5696330995478065,2,2015,Rabi,True,4694.0
2015-02-27,Warangal,17.97,79.59,26.56,36.48,17.08,34.12,23.52,2.46,0.0,2.2888913027553937,2,2015,Rabi,True,4704.0
2015-02-28,Warangal,17.97,79.59,27.01,34.95,19.17,48.45,19.53,3.63,1.11,1.8390114008784113,2,2015,Rabi,False,3906.0
2015-03-01,Warangal,17.97,79.59,26.76,34.05,21.13,53.1,11.41,4.46,1.89,1.6487443891563254,3,2015,Pre_Monsoon,False,2282.0
2015-03-02,Warangal,17.97,79.59,26.18,32.57,21.08,65.9,15.11,2.56,5.24,1.1585043305756375,3,2015,Pre_Monsoon,False,3022.0
2015-03-03,Warangal,17.97,79.59,26.59,33.84,20.46,56.97,16.77,1.72,0.01,1.497648012946719,3,2015,Pre_Monsoon,False,3354.0
2015-03-04,Warangal,17.97,79.59,24.84,33.44,16.77,39.82,22.29,2.09,0.0,1.8882753952698692,3,2015,Pre_Monsoon,False,4458.0
2015-03-05,Warangal,17.97,79.59,26.33,35.14,16.81,35.61,19.56,1.32,0.0,2.2070144401892353,3,2015,Pre_Monsoon,True,3911.9999999999995
2015-03-06,Warangal,17.97,79.59,28.23,34.35,21.59,47.91,16.3,1.37,0.05,1.995488196550548,3,2015,Pre_Monsoon,False,3260.0
2015-03-07,Warangal,17.97,79.59,29.14,35.79,21.81,41.4,19.86,0.88,0.02,2.3663851130061486,3,2015,Pre_Monsoon,True,3972.0
2015-03-08,Warangal,17.97,79.59,28.88,35.36,22.43,49.96,20.79,2.2,2.01,1.9905826943205125,3,2015,Pre_Monsoon,True,4158.0
2015-03-09,Warangal,17.97,79.59,26.48,32.48,21.82,64.74,18.85,1.52,9.59,1.2192932046333715,3,2015,Pre_Monsoon,False,3770.0000000000005
2015-03-10,Warangal,17.97,79.59,27.42,34.56,21.75,54.77,16.82,1.17,0.0,1.6527672760022305,3,2015,Pre_Monsoon,False,3364.0
2015-03-11,Warangal,17.97,79.59,27.75,35.46,20.85,44.52,22.55,1.47,0.0,2.0667716759704646,3,2015,Pre_Monsoon,True,4510.0
2015-03-12,Warangal,17.97,79.59,27.4,36.04,19.15,47.75,22.69,1.85,0.0,1.907055852341221,3,2015,Pre_Monsoon,True,4538.0
2015-03-13,Warangal,17.97,79.59,28.08,36.37,19.89,42.75,22.82,1.35,0.0,2.1741106941738506,3,2015,Pre_Monsoon,True,4564.0
2015-03-14,Warangal,17.97,79.59,27.93,36.42,19.67,41.01,23.75,2.47,0.0,2.220708871771418,3,2015,Pre_Monsoon,True,4750.0
2015-03-15,Warangal,17.97,79.59,27.82,37.42,18.69,41.98,25.23,3.61,0.0,2.1702349151969864,3,2015,Pre_Monsoon,True,5046.0
2015-03-16,Warangal,17.97,79.59,28.51,37.32,19.86,40.38,24.9,2.47,0.01,2.32138660123688,3,2015,Pre_Monsoon,True,4980.0
2015-03-17,Warangal,17.97,79.59,29.49,38.13,20.83,40.26,24.01,1.26,0.0,2.4615941060575466,3,2015,Pre_Monsoon,True,4802.0
2015-03-18,Warangal,17.97,79.59,30.25,37.62,22.93,35.35,22.81,1.31,0.0,2.782722761187335,3,2015,Pre_Monsoon,True,4562.0
2015-03-19,Warangal,17.97,79.59,30.65,38.6,22.47,32.21,21.64,1.38,0.0,2.9853664577727166,3,2015,Pre_Monsoon,True,4328.0
2015-03-20,Warangal,17.97,79.59,29.04,35.17,22.85,34.69,21.83,1.01,0.0,2.6221614515101095,3,2015,Pre_Monsoon,True,4366.0
2015-03-21,Warangal,17.97,79.59,30.7,38.79,22.56,29.54,22.98,1.23,0.0,3.111815896881635,3,2015,Pre_Monsoon,True,4596.0
2015-03-22,Warangal,17.97,79.59,31.76,39.73,23.27,24.58,23.64,1.25,0.0,3.5377025383419074,3,2015,Pre_Monsoon,True,4728.0
2015-03-23,Warangal,17.97,79.59,31.65,39.91,23.15,24.13,23.26,1.43,0.0,3.5367093973205357,3,2015,Pre_Monsoon,True,4652.0
2015-03-24,Warangal,17.97,79.59,32.38,40.53,23.68,23.14,24.06,1.31,0.0,3.733731025141215,3,2015,Pre_Monsoon,True,4812.0
2015-03-25,Warangal,17.97,79.59,31.18,39.83,22.35,35.96,24.4,1.67,0.0,2.9066705456063486,3,2015,Pre_Monsoon,True,4880.0
2015-03-26,Warangal,17.97,79.59,31.23,39.62,23.03,39.97,22.72,2.46,0.0,2.7324182895201545,3,2015,Pre_Monsoon,True,4544.0
2015-03-27,Warangal,17.97,79.59,30.72,38.48,23.12,40.49,22.88,2.66,0.26,2.6312176488928496,3,2015,Pre_Monsoon,True,4576.0
2015-03-28,Warangal,17.97,79.59,30.69,39.0,22.76,37.04,23.9,3.04,0.05,2.778997552898179,3,2015,Pre_Monsoon,True,4780.0
2015-03-29,Warangal,17.97,79.59,31.54,39.11,23.25,39.13,19.28,2.78,0.01,2.8198427300006736,3,2015,Pre_Monsoon,True,3856.0
2015-03-30,Warangal,17.97,79.59,29.5,34.46,24.75,41.0,11.72,2.65,0.23,2.4325024269348967,3,2015,Pre_Monsoon,False,2344.0
2015-03-31,Warangal,17.97,79.59,29.21,34.82,24.29,49.53,21.3,2.42,0.3,2.0463298431851116,3,2015,Pre_Monsoon,False,4260.0
2015-04-01,Warangal,17.97,79.59,31.57,38.86,23.54,40.08,23.8,2.27,0.0,2.7805587484672385,4,2015,Pre_Monsoon,True,4760.0
2015-04-02,Warangal,17.97,79.59,32.26,39.79,24.73,40.03,22.75,2.79,0.0,2.8936013580192244,4,2015,Pre_Monsoon,True,4550.0
2015-04-03,Warangal,17.97,79.59,32.92,40.4,24.74,27.54,23.92,2.04,0.0,3.6285212926016994,4,2015,Pre_Monsoon,True,4784.0
2015-04-04,Warangal,17.97,79.59,32.95,41.21,24.65,23.06,26.05,1.38,0.0,3.8593546406079007,4,2015,Pre_Monsoon,True,5210.0
2015-04-05,Warangal,17.97,79.59,32.27,40.14,23.64,25.11,25.04,1.31,0.0,3.6155420289814777,4,2015,Pre_Monsoon,True,5008.0
