District,Season,Mean_Temp_C,Mean_VPD_kPa,Mean_PPFD_umol,In_Training_Domain,Optimal_Reduction_Pct,Predicted_Intrinsic_WUE,WUE_95CI_Lower,WUE_95CI_Upper
Warangal,Kharif,26.5,0.86,810.0,False,35,108.56,99.05,118.29
Warangal,Pre_Monsoon,32.5,3.09,1085.0,False,25,54.21,45.29,62.07
Nizamabad,Kharif,26.0,0.87,814.0,False,35,107.86,98.35,117.59
Nizamabad,Pre_Monsoon,32.3,3.36,1090.0,False,20,50.39,41.36,58.35
Karimnagar,Kharif,26.7,0.86,804.0,False,35,108.1,98.58,117.83
Karimnagar,Pre_Monsoon,33.2,3.39,1085.0,False,20,49.98,40.95,57.95
Nalgonda,Kharif,27.4,1.0,810.0,False,30,102.01,92.51,111.82
Nalgonda,Pre_Monsoon,32.5,2.81,1085.0,False,25,59.45,50.53,67.31
Khammam,Kharif,26.9,0.83,782.0,False,35,110.57,101.05,120.3
Khammam,Pre_Monsoon,32.4,2.74,1064.0,False,25,60.78,51.87,68.65
