Target,Genotype_Group,n,R2,Reduction_Pct
A,Stomagen_Karavolias2024,16,-13.604,78.6
A,OsEPF1oeS_Caine2019,5,-0.695,88.0
A,IR64 Control_Caine2019,5,-0.613,0.0
A,Allele 3_Karavolias2024,14,-0.524,9.4
A,OsEPF1oeW_Caine2019,5,-0.393,58.0
A,Allele 1_Karavolias2024,16,-0.332,28.5
A,Stomagen_Karavolias2023,10,0.092,78.7
A,Allele 2_Karavolias2024,16,0.172,12.4
A,Allele 5_Karavolias2024,15,0.278,-4.5
A,Allele 6_Karavolias2024,15,0.501,-18.0
A,Allele 4_Karavolias2024,13,0.597,4.7
A,Wild Type_Karavolias2024,15,0.698,0.0
A,Wild Type_Karavolias2023,10,0.812,0.0
A,epfl10_Karavolias2023,10,0.892,16.7
gs,Stomagen_Karavolias2024,16,-4.023,78.6
gs,Stomagen_Karavolias2023,10,-3.481,78.7
gs,OsEPF1oeS_Caine2019,5,-1.004,88.0
gs,IR64 Control_Caine2019,5,-0.494,0.0
gs,Allele 3_Karavolias2024,14,-0.02,9.4
gs,OsEPF1oeW_Caine2019,5,-0.004,58.0
gs,Allele 1_Karavolias2024,16,0.033,28.5
gs,Allele 2_Karavolias2024,16,0.158,12.4
gs,Allele 5_Karavolias2024,15,0.218,-4.5
gs,Allele 4_Karavolias2024,13,0.221,4.7
gs,Allele 6_Karavolias2024,15,0.316,-18.0
gs,Wild Type_Karavolias2024,15,0.323,0.0
gs,Wild Type_Karavolias2023,10,0.621,0.0
gs,epfl10_Karavolias2023,10,0.755,16.7
